5, 2.9372e-02, 3.4361e+00
10, 2.9291e-02, 3.4311e+00
15, 2.9212e-02, 3.4262e+00
20, 2.9135e-02, 3.4214e+00
25, 2.9060e-02, 3.4166e+00
30, 2.8986e-02, 3.4120e+00
35, 2.8913e-02, 3.4074e+00
40, 2.8842e-02, 3.4028e+00
45, 2.8772e-02, 3.3984e+00
50, 2.8703e-02, 3.3940e+00
55, 2.8635e-02, 3.3896e+00
60, 2.8568e-02, 3.3853e+00
65, 2.8502e-02, 3.3810e+00
70, 2.8437e-02, 3.3768e+00
75, 2.8373e-02, 3.3726e+00
80, 2.8309e-02, 3.3685e+00
85, 2.8247e-02, 3.3644e+00
90, 2.8185e-02, 3.3604e+00
95, 2.8124e-02, 3.3564e+00
100, 2.8064e-02, 3.3524e+00
135, 2.7661e-02, 3.3255e+00
185, 2.7135e-02, 3.2897e+00
200, 2.6987e-02, 3.2794e+00
255, 2.6477e-02, 3.2437e+00
300, 2.6094e-02, 3.2162e+00
345, 2.5737e-02, 3.1903e+00
400, 2.5331e-02, 3.1603e+00
465, 2.4890e-02, 3.1271e+00
500, 2.4667e-02, 3.1101e+00
600, 2.4080e-02, 3.0644e+00
615, 2.3998e-02, 3.0579e+00
700, 2.3555e-02, 3.0227e+00
800, 2.3082e-02, 2.9841e+00
810, 2.3037e-02, 2.9804e+00
900, 2.2650e-02, 2.9483e+00
1000, 2.2255e-02, 2.9149e+00
1060, 2.2033e-02, 2.8959e+00
1100, 2.1890e-02, 2.8836e+00
1200, 2.1553e-02, 2.8542e+00
1300, 2.1238e-02, 2.8264e+00
1385, 2.0987e-02, 2.8039e+00
1400, 2.0945e-02, 2.8000e+00
1500, 2.0669e-02, 2.7750e+00
1600, 2.0410e-02, 2.7512e+00
1700, 2.0165e-02, 2.7284e+00
1800, 1.9934e-02, 2.7067e+00
1805, 1.9922e-02, 2.7056e+00
1900, 1.9714e-02, 2.6858e+00
2000, 1.9505e-02, 2.6658e+00
2100, 1.9307e-02, 2.6466e+00
2200, 1.9117e-02, 2.6280e+00
2300, 1.8936e-02, 2.6102e+00
2345, 1.8857e-02, 2.6023e+00
2400, 1.8762e-02, 2.5929e+00
